x,y
1.28,8.3
3.59,19.8
1.34,13.39
1.9,11.8
3.5,19.3
11.0,43.05
8.5,29.8
2.25,17.16
1.43,11.8
2.38,21.8
3.5,25.85
2.52,20.05
0.88,10.8
1.96,12.96
22.5,71.35
0.0,12.36
2.51,20.46
4.45,25.3
28.25,78.8
3.7,26.46
1.22,12.3
4.65,16.3
3.1,17.55
0.0,17.0
2.03,15.3
1.72,10.3
6.24,29.55
1.52,10.8
0.5,10.86
3.89,21.35
2.53,25.06
9.44,46.86
1.9,15.36
2.77,20.06
1.12,9.96
5.89,31.8
1.35,12.3
2.43,16.64
7.27,32.3
1.9,15.3
4.48,30.66
1.0,9.36
0.87,11.56
1.73,10.8
2.13,11.35
0.0,0.0
3.43,22.26
0.0,100.3
1.62,10.8
1.24,14.46
0.0,4.3
1.02,7.8
1.14,11.8
1.45,11.0
0.92,8.3
29.73,95.35
4.56,29.44
1.6,14.05
1.4,8.8
7.7,41.85
2.25,17.46
2.16,14.12
2.45,15.8
1.37,10.3
0.9,7.3
1.2,14.0
1.4,14.45
3.6,18.3
3.4,14.3
11.48,54.66
3.34,21.05
3.18,19.24
0.56,6.3
4.95,26.16
1.21,8.3
1.42,10.3
14.09,63.68
3.73,26.05
0.92,12.15
1.37,9.12
3.14,23.81
2.04,12.96
5.08,27.55
2.09,11.8
1.0,11.4
3.8,24.8
1.09,9.8
0.85,7.3
0.76,6.3
5.06,28.0
1.6,14.22
0.86,8.3
0.9,8.3
0.82,9.8
0.78,7.3
0.26,6.36
3.1,18.05
1.6,11.3
0.02,14.76
0.0,12.0
3.17,18.05
2.63,19.26
1.21,9.3
1.92,15.36
2.68,20.8
2.09,16.0
1.25,12.74
1.73,10.8
9.0,40.0
0.96,12.09
1.2,9.3
1.1,9.96
2.3,13.8
2.02,16.56
10.56,57.36
1.26,7.8
1.21,8.8
7.53,29.16
0.83,6.8
3.11,16.8
0.98,10.79
1.4,10.56
1.49,15.01
7.22,34.3
3.85,21.66
0.01,50.3
3.32,21.06
3.3,19.55
1.31,9.96
10.79,41.3
11.42,41.3
1.57,14.05
4.3,21.58
1.29,11.44
0.8,10.55
5.07,18.3
0.0,11.0
0.35,8.3
4.4,18.8
1.69,11.38
1.3,9.3
16.55,61.35
1.26,11.55
0.75,9.49
0.0,4.8
2.6,16.6
1.96,12.36
2.4,13.8
2.57,17.05
1.99,10.8
5.04,20.8
2.9,13.3
2.94,13.8
0.44,6.89
2.91,19.26
1.13,13.26
1.69,12.31
4.89,19.75
9.26,30.3
1.71,11.8
1.89,10.8
3.45,18.3
1.3,8.3
1.81,12.74
0.28,6.36
0.77,6.3
0.9,6.8
1.5,14.05
3.0,15.3
2.4,19.86
1.4,12.35
1.24,7.8
2.26,13.86
2.47,19.86
1.41,11.3
15.77,56.05
2.07,15.05
2.23,14.12
2.44,11.3
6.33,29.55
3.8,16.56
2.5,15.35
1.25,7.8
